"toolid","moduleid","recipeid","lotid","carrierid","slotno","waferid","recipestepno","sdate","edate"
tesla_sensor,model_3,tesla_recipe.138,Air Filter,CHAdeMo,2,"02",4,2024-01-04 16:26:07.150,2024-01-04 16:26:08.210
tesla_sensor,model_3,tesla_recipe.138,Air Filter,CHAdeMo,2,"02",5,2024-01-04 16:26:08.210,2024-01-04 16:26:09.220
tesla_sensor,model_3,tesla_recipe.138,Air Filter,CHAdeMo,2,"02",6,2024-01-04 16:26:09.220,2024-01-04 16:27:06.060
tesla_sensor,model_3,tesla_recipe.138,Air Filter,CHAdeMo,2,"02",7,2024-01-04 16:27:06.060,2024-01-04 16:27:07.100
tesla_sensor,model_3,tesla_recipe.138,Air Filter,CHAdeMo,2,"02",8,2024-01-04 16:27:07.100,2024-01-04 16:27:12.130
tesla_sensor,model_3,tesla_recipe.138,Air Filter,CHAdeMo,2,"02",9,2024-01-04 16:27:12.130,2024-01-04 16:27:15.310
tesla_sensor,model_3,tesla_recipe.138,Air Filter,CHAdeMo,2,"02",10,2024-01-04 16:27:15.310,2024-01-04 16:27:25.320
tesla_sensor,model_3,tesla_recipe.139,Air Filter,CHAdeMo,3,"03",1,2024-01-04 16:30:06.900,2024-01-04 16:30:13.920
tesla_sensor,model_3,tesla_recipe.139,Air Filter,CHAdeMo,3,"03",2,2024-01-04 16:30:13.920,2024-01-04 16:30:18.930
tesla_sensor,model_3,tesla_recipe.139,Air Filter,CHAdeMo,3,"03",3,2024-01-04 16:30:18.930,2024-01-04 16:30:28.940
tesla_sensor,model_3,tesla_recipe.139,Air Filter,CHAdeMo,3,"03",4,2024-01-04 16:30:28.940,2024-01-04 16:30:29.990
tesla_sensor,model_3,tesla_recipe.139,Air Filter,CHAdeMo,3,"03",5,2024-01-04 16:30:29.990,2024-01-04 16:30:31.000
tesla_sensor,model_3,tesla_recipe.139,Air Filter,CHAdeMo,3,"03",6,2024-01-04 16:30:31.000,2024-01-04 16:31:08.540
tesla_sensor,model_3,tesla_recipe.139,Air Filter,CHAdeMo,3,"03",7,2024-01-04 16:31:08.540,2024-01-04 16:31:09.590
